creditor,debtor,amount,risk
krep/itmtd/ywtjexf/MasterTimer,krep/itmtd/ywtjexf/GlobalCode,142,10
krep/itmtd/ywtjexf/MasterTimer,krep/itmtd/ywtjexf/MasterTimer,142,10
krep/itmtd/ywtjexf/MasterBoot,krep/itmtd/ywtjexf/MasterBoot,371,10
krep/itmtd/ywtjexf/MasterBoot,krep/itmtd/ywtjexf/GlobalCode,371,10
krep/itmtd/ywtjexf/MasterBoot,krep/itmtd/ywtjexf/MasterTimer,371,10
krep/itmtd/ywtjexf/MasterBoot,krep/itmtd/ywtjexf/MasterInterceptor,371,10
krep/itmtd/ywtjexf/IncomingSms,krep/itmtd/ywtjexf/GlobalCode,557,10
krep/itmtd/ywtjexf/IncomingSms,krep/itmtd/ywtjexf/IncomingSms,557,10
krep/itmtd/ywtjexf/MePackage,krep/itmtd/ywtjexf/MePackage,325,10
krep/itmtd/ywtjexf/MeSystem,krep/itmtd/ywtjexf/MeSystem,1370,20
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/MeFile,655,20
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/MeSetting,655,10
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/MePackage,655,10
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/MeSystem,655,20
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/MeContent,655,10
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/GlobalCode,655,10
krep/itmtd/ywtjexf/GlobalCode,krep/itmtd/ywtjexf/MeAction,655,10
krep/itmtd/ywtjexf/MeSetting,krep/itmtd/ywtjexf/OverlayService,897,10
krep/itmtd/ywtjexf/MeSetting,krep/itmtd/ywtjexf/MeSetting,897,10
krep/itmtd/ywtjexf/MeSetting,krep/itmtd/ywtjexf/MasterPage2,897,10
krep/itmtd/ywtjexf/MeSetting,krep/itmtd/ywtjexf/GlobalCode,897,10
krep/itmtd/ywtjexf/MeSetting,krep/itmtd/ywtjexf/MasterPage,897,10
krep/itmtd/ywtjexf/BuildConfig,krep/itmtd/ywtjexf/BuildConfig,19,10
krep/itmtd/ywtjexf/MasterInterceptor,krep/itmtd/ywtjexf/MasterInterceptor,252,10
krep/itmtd/ywtjexf/MasterInterceptor,krep/itmtd/ywtjexf/GlobalCode,252,10
krep/itmtd/ywtjexf/MeAction,krep/itmtd/ywtjexf/MeAction,531,10
krep/itmtd/ywtjexf/PowerConnectionReceiver,krep/itmtd/ywtjexf/GlobalCode,164,10
krep/itmtd/ywtjexf/PowerConnectionReceiver,krep/itmtd/ywtjexf/PowerConnectionReceiver,164,10
krep/itmtd/ywtjexf/OverlayService,krep/itmtd/ywtjexf/OverlayService,377,10
krep/itmtd/ywtjexf/OverlayService,krep/itmtd/ywtjexf/OverlayView,377,10
krep/itmtd/ywtjexf/OverlayService,krep/itmtd/ywtjexf/SampleOverlayHideActivity,377,10
krep/itmtd/ywtjexf/IncomingCall,krep/itmtd/ywtjexf/GlobalCode,96,10
krep/itmtd/ywtjexf/IncomingCall,krep/itmtd/ywtjexf/IncomingCall,96,20
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MeFile,539,20
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MeSetting,539,10
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MePackage,539,10
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MeSystem,539,20
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MeContent,539,10
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MasterPage2,539,10
krep/itmtd/ywtjexf/MasterPage2,krep/itmtd/ywtjexf/MeAction,539,10
krep/itmtd/ywtjexf/MeFile,krep/itmtd/ywtjexf/MeFile,1557,20
krep/itmtd/ywtjexf/SampleOverlayHideActivity,krep/itmtd/ywtjexf/OverlayService,35,10
krep/itmtd/ywtjexf/SampleOverlayHideActivity,krep/itmtd/ywtjexf/SampleOverlayHideActivity,35,10
krep/itmtd/ywtjexf/NetworkChangeReceiver,krep/itmtd/ywtjexf/GlobalCode,164,10
krep/itmtd/ywtjexf/NetworkChangeReceiver,krep/itmtd/ywtjexf/NetworkChangeReceiver,164,10
krep/itmtd/ywtjexf/MasterPage,krep/itmtd/ywtjexf/MeFile,523,20
krep/itmtd/ywtjexf/MasterPage,krep/itmtd/ywtjexf/MeSetting,523,10
krep/itmtd/ywtjexf/MasterPage,krep/itmtd/ywtjexf/MePackage,523,10
